zone,latitude,longitude,timestamp,temperature_c,humidity_percent,precipitation_mm,cloud_cover_percent,wind_speed_kmh,wind_direction_degree,solar_radiation_wm2,hour,day,month,day_of_week,is_daytime,predicted_generation_mw_per_1mw
Dhaka,23.8103,90.4125,2026-08-29 22:00:00,29.1,80,0.0,94,9.4,151,0.0,22,29,8,5,0,0.0
Dhaka,23.8103,90.4125,2026-08-29 23:00:00,28.6,82,0.0,100,9.8,130,0.0,23,29,8,5,0,0.0011131854
Dhaka,23.8103,90.4125,2026-08-30 00:00:00,28.2,84,0.0,98,8.6,112,0.0,0,30,8,6,0,0.0022767547
Dhaka,23.8103,90.4125,2026-08-30 01:00:00,28.0,85,0.0,100,8.9,104,0.0,1,30,8,6,0,0.0012043766
Dhaka,23.8103,90.4125,2026-08-30 02:00:00,27.8,86,0.0,98,9.2,101,0.0,2,30,8,6,0,0.0009252534
Dhaka,23.8103,90.4125,2026-08-30 03:00:00,27.6,86,0.0,95,9.7,86,0.0,3,30,8,6,0,0.0015264326
Dhaka,23.8103,90.4125,2026-08-30 04:00:00,27.4,87,0.0,88,10.0,77,0.0,4,30,8,6,0,0.0011659918
Dhaka,23.8103,90.4125,2026-08-30 05:00:00,27.3,87,0.0,81,11.0,79,0.0,5,30,8,6,0,0.003949218
Dhaka,23.8103,90.4125,2026-08-30 06:00:00,27.5,86,0.0,100,12.0,77,2.0,6,30,8,6,1,0.054964576
Dhaka,23.8103,90.4125,2026-08-30 07:00:00,28.2,81,0.0,91,13.3,87,74.0,7,30,8,6,1,0.19482006
Dhaka,23.8103,90.4125,2026-08-30 08:00:00,29.3,74,0.0,98,16.9,104,267.0,8,30,8,6,1,0.36655155
Dhaka,23.8103,90.4125,2026-08-30 09:00:00,30.2,70,0.1,98,19.5,116,413.0,9,30,8,6,1,0.42642248
Dhaka,23.8103,90.4125,2026-08-30 10:00:00,31.5,65,0.1,92,20.7,110,617.0,10,30,8,6,1,0.5125634
Dhaka,23.8103,90.4125,2026-08-30 11:00:00,31.9,65,0.6,98,19.5,112,715.0,11,30,8,6,1,0.56243676
Dhaka,23.8103,90.4125,2026-08-30 12:00:00,32.6,65,0.2,97,20.1,120,786.0,12,30,8,6,1,0.5796579
Dhaka,23.8103,90.4125,2026-08-30 13:00:00,32.3,67,0.5,98,19.3,114,807.0,13,30,8,6,1,0.5360062
Dhaka,23.8103,90.4125,2026-08-30 14:00:00,30.0,76,1.4,91,21.7,130,614.0,14,30,8,6,1,0.41731507
Dhaka,23.8103,90.4125,2026-08-30 15:00:00,30.6,75,0.6,88,16.6,131,503.0,15,30,8,6,1,0.34223333
Dhaka,23.8103,90.4125,2026-08-30 16:00:00,30.1,76,0.9,93,19.4,132,442.0,16,30,8,6,1,0.21193731
Dhaka,23.8103,90.4125,2026-08-30 17:00:00,29.4,80,0.4,99,17.0,127,185.0,17,30,8,6,1,0.07802256
Dhaka,23.8103,90.4125,2026-08-30 18:00:00,29.0,82,0.1,99,15.7,128,77.0,18,30,8,6,1,0.009592215
Dhaka,23.8103,90.4125,2026-08-30 19:00:00,28.3,86,0.2,98,15.2,121,2.0,19,30,8,6,1,0.0
Dhaka,23.8103,90.4125,2026-08-30 20:00:00,28.1,86,0.0,99,14.5,122,0.0,20,30,8,6,0,0.0
Dhaka,23.8103,90.4125,2026-08-30 21:00:00,28.1,86,0.0,100,15.3,122,0.0,21,30,8,6,0,0.0
Chittagong,22.3569,91.7832,2026-08-29 22:00:00,27.2,85,0.0,27,15.5,116,0.0,22,29,8,5,0,4.6073113e-05
Chittagong,22.3569,91.7832,2026-08-29 23:00:00,27.2,84,0.0,21,14.3,115,0.0,23,29,8,5,0,0.0
Chittagong,22.3569,91.7832,2026-08-30 00:00:00,27.1,84,0.0,11,15.0,123,0.0,0,30,8,6,0,0.0016259847
Chittagong,22.3569,91.7832,2026-08-30 01:00:00,27.1,83,0.0,13,15.6,124,0.0,1,30,8,6,0,0.0009816652
Chittagong,22.3569,91.7832,2026-08-30 02:00:00,27.1,82,0.0,73,17.7,129,0.0,2,30,8,6,0,0.0
Chittagong,22.3569,91.7832,2026-08-30 03:00:00,27.1,83,0.0,42,17.8,130,0.0,3,30,8,6,0,0.003597537
Chittagong,22.3569,91.7832,2026-08-30 04:00:00,27.0,83,0.0,100,17.1,129,0.0,4,30,8,6,0,0.0046144924
Chittagong,22.3569,91.7832,2026-08-30 05:00:00,27.0,82,0.0,100,17.1,123,0.0,5,30,8,6,0,0.01002882
Chittagong,22.3569,91.7832,2026-08-30 06:00:00,26.9,83,0.0,100,17.1,122,3.0,6,30,8,6,1,0.069073796
Chittagong,22.3569,91.7832,2026-08-30 07:00:00,27.3,82,0.0,100,18.3,130,50.0,7,30,8,6,1,0.14926708
Chittagong,22.3569,91.7832,2026-08-30 08:00:00,26.9,85,0.3,95,19.8,128,151.0,8,30,8,6,1,0.2479141
