zone,latitude,longitude,temperature_c,humidity_percent,precipitation_mm,cloud_cover_percent,wind_speed_kmh,wind_direction_degree,solar_radiation_wm2,hour,day,month,day_of_week,is_daytime,solar_generation_mw_per_1mw
Barishal,22.701,90.3535,17.9,89,0.0,0,7.7,332,0.0,0,1,1,0,0,0.0
Barishal,22.701,90.3535,17.5,90,0.0,0,7.1,336,0.0,1,1,1,0,0,0.0
Barishal,22.701,90.3535,17.3,90,0.0,0,7.9,336,0.0,2,1,1,0,0,0.0
Barishal,22.701,90.3535,17.0,91,0.0,0,9.2,334,0.0,3,1,1,0,0,0.0
Barishal,22.701,90.3535,16.7,93,0.0,0,8.6,338,0.0,4,1,1,0,0,0.0
Barishal,22.701,90.3535,16.5,94,0.0,0,7.9,344,0.0,5,1,1,0,0,0.0
Barishal,22.701,90.3535,16.5,94,0.0,0,7.6,341,0.0,6,1,1,0,0,0.001615
Barishal,22.701,90.3535,16.5,96,0.0,0,8.5,348,3.0,7,1,1,0,1,0.033898000000000005
Barishal,22.701,90.3535,17.7,92,0.0,0,9.7,345,92.0,8,1,1,0,1,0.11175799999999998
Barishal,22.701,90.3535,19.3,87,0.0,0,10.6,350,262.0,9,1,1,0,1,0.1933325
Barishal,22.701,90.3535,21.2,80,0.0,0,12.0,351,433.0,10,1,1,0,1,0.2942445
Barishal,22.701,90.3535,22.8,72,0.0,0,13.0,354,563.0,11,1,1,0,1,0.43196999999999997
Barishal,22.701,90.3535,23.9,65,0.0,0,12.8,350,634.0,12,1,1,0,1,0.5114025
Barishal,22.701,90.3535,24.5,61,0.0,0,11.3,351,638.0,13,1,1,0,1,0.49314449999999993
Barishal,22.701,90.3535,24.8,58,0.0,0,9.6,347,573.0,14,1,1,0,1,0.3788025
Barishal,22.701,90.3535,24.7,57,0.0,0,9.6,347,446.0,15,1,1,0,1,0.22930449999999997
Barishal,22.701,90.3535,24.1,60,0.0,0,8.2,345,278.0,16,1,1,0,1,0.082297
Barishal,22.701,90.3535,21.5,79,0.0,0,7.3,340,103.0,17,1,1,0,1,0.003332
Barishal,22.701,90.3535,19.8,81,0.0,0,8.1,339,5.0,18,1,1,0,1,0.0
Barishal,22.701,90.3535,18.5,88,0.0,0,8.7,343,0.0,19,1,1,0,0,0.0
Barishal,22.701,90.3535,18.6,88,0.0,0,6.8,342,0.0,20,1,1,0,0,0.0
Barishal,22.701,90.3535,18.3,89,0.0,0,7.3,340,0.0,21,1,1,0,0,0.0
Barishal,22.701,90.3535,17.7,90,0.0,0,7.0,339,0.0,22,1,1,0,0,0.0
Barishal,22.701,90.3535,17.4,90,0.0,0,6.8,335,0.0,23,1,1,0,0,0.0
Barishal,22.701,90.3535,17.1,90,0.0,0,6.9,332,0.0,0,2,1,1,0,0.0
Barishal,22.701,90.3535,16.8,91,0.0,0,7.1,330,0.0,1,2,1,1,0,0.0
Barishal,22.701,90.3535,16.6,92,0.0,0,8.9,328,0.0,2,2,1,1,0,0.0
Barishal,22.701,90.3535,16.3,93,0.0,0,9.5,331,0.0,3,2,1,1,0,0.0
Barishal,22.701,90.3535,16.1,93,0.0,0,9.8,336,0.0,4,2,1,1,0,0.0
Barishal,22.701,90.3535,15.8,94,0.0,0,9.1,342,0.0,5,2,1,1,0,0.0
Barishal,22.701,90.3535,15.7,95,0.0,0,8.4,350,0.0,6,2,1,1,0,0.0
Barishal,22.701,90.3535,15.8,96,0.0,0,8.3,355,3.0,7,2,1,1,1,0.05316749999999999
Barishal,22.701,90.3535,17.1,93,0.0,0,9.8,354,92.0,8,2,1,1,1,0.1443045
Barishal,22.701,90.3535,18.7,88,0.0,0,8.3,355,264.0,9,2,1,1,1,0.276777
Barishal,22.701,90.3535,20.3,81,0.0,0,9.0,355,434.0,10,2,1,1,1,0.46048749999999994
Barishal,22.701,90.3535,21.7,74,0.0,0,9.7,356,564.0,11,2,1,1,1,0.5661
Barishal,22.701,90.3535,22.7,68,0.0,0,9.5,351,635.0,12,2,1,1,1,0.5709195
Barishal,22.701,90.3535,23.4,63,0.0,0,9.2,349,639.0,13,2,1,1,1,0.513145
Barishal,22.701,90.3535,23.7,61,0.0,1,8.8,341,574.0,14,2,1,1,1,0.39696699999999996
Barishal,22.701,90.3535,23.7,60,0.0,1,8.2,337,450.0,15,2,1,1,1,0.24518249999999997
Barishal,22.701,90.3535,23.2,62,0.0,1,7.6,335,280.0,16,2,1,1,1,0.0891225
Barishal,22.701,90.3535,20.9,79,0.0,0,6.0,327,105.0,17,2,1,1,1,0.0038249999999999994
Barishal,22.701,90.3535,18.4,86,0.0,0,9.0,337,5.0,18,2,1,1,1,0.0
