zone,latitude,longitude,timestamp,wind_speed_100m_kmh,wind_direction_100m_degree,temperature_c,pressure_msl_hpa
Dhaka,23.8103,90.4125,2024-01-01T00:00,22.5,338,17.5,1015.4
Dhaka,23.8103,90.4125,2024-01-01T01:00,21.9,337,17.2,1015.1
Dhaka,23.8103,90.4125,2024-01-01T02:00,20.3,335,16.9,1014.8
Dhaka,23.8103,90.4125,2024-01-01T03:00,19.8,333,16.5,1014.6
Dhaka,23.8103,90.4125,2024-01-01T04:00,20.5,329,16.3,1014.5
Dhaka,23.8103,90.4125,2024-01-01T05:00,20.3,327,16.0,1015.1
Dhaka,23.8103,90.4125,2024-01-01T06:00,19.5,322,15.8,1015.8
Dhaka,23.8103,90.4125,2024-01-01T07:00,18.5,327,15.4,1016.9
Dhaka,23.8103,90.4125,2024-01-01T08:00,18.7,326,16.7,1017.7
Dhaka,23.8103,90.4125,2024-01-01T09:00,13.3,327,18.5,1018.2
Dhaka,23.8103,90.4125,2024-01-01T10:00,11.9,331,20.6,1018.1
Dhaka,23.8103,90.4125,2024-01-01T11:00,13.2,338,22.5,1017.4
Dhaka,23.8103,90.4125,2024-01-01T12:00,12.6,336,23.8,1016.0
Dhaka,23.8103,90.4125,2024-01-01T13:00,10.3,335,24.5,1014.5
Dhaka,23.8103,90.4125,2024-01-01T14:00,9.3,332,24.9,1013.5
Dhaka,23.8103,90.4125,2024-01-01T15:00,9.5,331,24.8,1012.9
Dhaka,23.8103,90.4125,2024-01-01T16:00,9.4,320,24.2,1012.6
Dhaka,23.8103,90.4125,2024-01-01T17:00,11.7,304,21.5,1013.0
Dhaka,23.8103,90.4125,2024-01-01T18:00,15.9,303,19.6,1013.6
Dhaka,23.8103,90.4125,2024-01-01T19:00,16.7,307,18.5,1014.9
Dhaka,23.8103,90.4125,2024-01-01T20:00,18.8,306,18.0,1015.7
Dhaka,23.8103,90.4125,2024-01-01T21:00,18.9,310,17.4,1016.1
Dhaka,23.8103,90.4125,2024-01-01T22:00,18.3,317,16.9,1016.2
Dhaka,23.8103,90.4125,2024-01-01T23:00,18.4,318,16.5,1016.2
Dhaka,23.8103,90.4125,2024-01-02T00:00,18.9,321,16.2,1016.0
Dhaka,23.8103,90.4125,2024-01-02T01:00,21.0,322,16.1,1015.8
Dhaka,23.8103,90.4125,2024-01-02T02:00,22.1,323,15.9,1015.5
Dhaka,23.8103,90.4125,2024-01-02T03:00,22.2,328,15.6,1015.1
Dhaka,23.8103,90.4125,2024-01-02T04:00,19.8,331,15.2,1014.9
Dhaka,23.8103,90.4125,2024-01-02T05:00,18.4,332,14.7,1015.1
Dhaka,23.8103,90.4125,2024-01-02T06:00,18.5,333,14.4,1015.7
Dhaka,23.8103,90.4125,2024-01-02T07:00,17.3,337,14.5,1017.0
Dhaka,23.8103,90.4125,2024-01-02T08:00,15.5,335,15.7,1017.7
Dhaka,23.8103,90.4125,2024-01-02T09:00,10.5,333,17.4,1018.3
Dhaka,23.8103,90.4125,2024-01-02T10:00,9.7,338,19.4,1018.0
Dhaka,23.8103,90.4125,2024-01-02T11:00,9.9,341,21.2,1017.1
Dhaka,23.8103,90.4125,2024-01-02T12:00,9.7,338,22.4,1015.9
Dhaka,23.8103,90.4125,2024-01-02T13:00,9.2,334,23.2,1014.5
Dhaka,23.8103,90.4125,2024-01-02T14:00,9.3,324,23.6,1013.4
Dhaka,23.8103,90.4125,2024-01-02T15:00,9.4,313,23.6,1012.9
Dhaka,23.8103,90.4125,2024-01-02T16:00,9.7,309,23.1,1013.0
Dhaka,23.8103,90.4125,2024-01-02T17:00,13.0,298,21.0,1013.0
Dhaka,23.8103,90.4125,2024-01-02T18:00,16.6,300,18.9,1013.7
Dhaka,23.8103,90.4125,2024-01-02T19:00,16.9,308,17.5,1015.1
Dhaka,23.8103,90.4125,2024-01-02T20:00,18.3,315,16.6,1015.7
Dhaka,23.8103,90.4125,2024-01-02T21:00,18.8,317,15.9,1016.0
Dhaka,23.8103,90.4125,2024-01-02T22:00,18.9,321,15.5,1016.4
Dhaka,23.8103,90.4125,2024-01-02T23:00,19.8,327,15.3,1016.4
Dhaka,23.8103,90.4125,2024-01-03T00:00,20.0,330,15.0,1016.3
Dhaka,23.8103,90.4125,2024-01-03T01:00,19.3,331,14.5,1015.9
Dhaka,23.8103,90.4125,2024-01-03T02:00,19.5,332,14.2,1015.3
Dhaka,23.8103,90.4125,2024-01-03T03:00,20.4,334,14.1,1014.9
Dhaka,23.8103,90.4125,2024-01-03T04:00,20.3,335,14.0,1014.9
Dhaka,23.8103,90.4125,2024-01-03T05:00,18.7,337,13.7,1015.1
Dhaka,23.8103,90.4125,2024-01-03T06:00,17.0,339,13.2,1015.8
Dhaka,23.8103,90.4125,2024-01-03T07:00,15.4,349,13.6,1016.8
Dhaka,23.8103,90.4125,2024-01-03T08:00,15.8,348,15.4,1017.5
Dhaka,23.8103,90.4125,2024-01-03T09:00,16.3,352,17.9,1018.3
Dhaka,23.8103,90.4125,2024-01-03T10:00,11.9,355,20.3,1017.9
Dhaka,23.8103,90.4125,2024-01-03T11:00,9.4,2,22.1,1016.8
Dhaka,23.8103,90.4125,2024-01-03T12:00,6.5,360,23.1,1015.8
Dhaka,23.8103,90.4125,2024-01-03T13:00,4.9,343,23.7,1014.5
Dhaka,23.8103,90.4125,2024-01-03T14:00,4.8,333,24.0,1013.4
Dhaka,23.8103,90.4125,2024-01-03T15:00,4.9,324,24.1,1012.8
Dhaka,23.8103,90.4125,2024-01-03T16:00,4.6,321,23.7,1012.6
Dhaka,23.8103,90.4125,2024-01-03T17:00,5.4,312,22.0,1012.9
Dhaka,23.8103,90.4125,2024-01-03T18:00,7.4,313,19.4,1013.3
Dhaka,23.8103,90.4125,2024-01-03T19:00,4.0,333,19.5,1014.4
Dhaka,23.8103,90.4125,2024-01-03T20:00,5.5,302,16.2,1014.6
Dhaka,23.8103,90.4125,2024-01-03T21:00,8.2,299,15.2,1015.0
Dhaka,23.8103,90.4125,2024-01-03T22:00,11.5,314,14.8,1015.2
Dhaka,23.8103,90.4125,2024-01-03T23:00,13.9,329,14.6,1015.1
Dhaka,23.8103,90.4125,2024-01-04T00:00,15.0,336,14.3,1015.0
Dhaka,23.8103,90.4125,2024-01-04T01:00,16.1,336,14.1,1014.9
Dhaka,23.8103,90.4125,2024-01-04T02:00,16.3,338,13.8,1014.5
Dhaka,23.8103,90.4125,2024-01-04T03:00,15.6,337,13.3,1014.4
Dhaka,23.8103,90.4125,2024-01-04T04:00,13.5,344,13.0,1014.3
Dhaka,23.8103,90.4125,2024-01-04T05:00,12.0,351,12.9,1014.6
Dhaka,23.8103,90.4125,2024-01-04T06:00,12.1,348,12.4,1015.3
Dhaka,23.8103,90.4125,2024-01-04T07:00,12.5,342,13.8,1016.6
Dhaka,23.8103,90.4125,2024-01-04T08:00,14.6,340,14.9,1017.8
Dhaka,23.8103,90.4125,2024-01-04T09:00,15.1,348,17.2,1018.4
Dhaka,23.8103,90.4125,2024-01-04T10:00,9.1,351,20.2,1018.1
Dhaka,23.8103,90.4125,2024-01-04T11:00,9.0,358,22.2,1017.3
Dhaka,23.8103,90.4125,2024-01-04T12:00,8.3,355,23.3,1016.1
Dhaka,23.8103,90.4125,2024-01-04T13:00,8.4,335,24.0,1014.8
Dhaka,23.8103,90.4125,2024-01-04T14:00,7.8,326,24.3,1013.5
Dhaka,23.8103,90.4125,2024-01-04T15:00,7.7,319,24.3,1012.9
Dhaka,23.8103,90.4125,2024-01-04T16:00,6.4,313,23.9,1012.8
Dhaka,23.8103,90.4125,2024-01-04T17:00,6.8,295,21.4,1013.1
Dhaka,23.8103,90.4125,2024-01-04T18:00,11.6,292,18.9,1013.7
Dhaka,23.8103,90.4125,2024-01-04T19:00,7.7,298,17.9,1014.6
Dhaka,23.8103,90.4125,2024-01-04T20:00,9.9,280,16.2,1015.2
Dhaka,23.8103,90.4125,2024-01-04T21:00,11.1,283,15.4,1015.6
Dhaka,23.8103,90.4125,2024-01-04T22:00,10.6,298,15.4,1015.7
Dhaka,23.8103,90.4125,2024-01-04T23:00,10.7,315,14.4,1015.8
Dhaka,23.8103,90.4125,2024-01-05T00:00,12.3,328,13.8,1015.8
Dhaka,23.8103,90.4125,2024-01-05T01:00,14.0,337,13.7,1015.6
Dhaka,23.8103,90.4125,2024-01-05T02:00,14.5,337,13.4,1015.4
Dhaka,23.8103,90.4125,2024-01-05T03:00,14.5,341,12.9,1015.3
Dhaka,23.8103,90.4125,2024-01-05T04:00,14.9,352,12.7,1015.3
Dhaka,23.8103,90.4125,2024-01-05T05:00,14.8,360,12.6,1015.6
Dhaka,23.8103,90.4125,2024-01-05T06:00,15.4,11,12.5,1016.2
Dhaka,23.8103,90.4125,2024-01-05T07:00,15.6,23,13.1,1017.3
Dhaka,23.8103,90.4125,2024-01-05T08:00,14.3,18,15.6,1018.2
Dhaka,23.8103,90.4125,2024-01-05T09:00,13.6,17,18.5,1019.0
