zone,latitude,longitude,timestamp,temperature_c,humidity_percent,precipitation_mm,cloud_cover_percent,wind_speed_kmh,wind_direction_degree,solar_radiation_wm2,hour,day,month,day_of_week,is_daytime,predicted_generation_mw_per_1mw
Dhaka,23.8103,90.4125,2026-08-29 22:00:00,29.1,80,0.0,94,9.4,151,0.0,22,29,8,5,0,0.0
Dhaka,23.8103,90.4125,2026-08-29 23:00:00,28.6,82,0.0,100,9.8,130,0.0,23,29,8,5,0,0.0
Dhaka,23.8103,90.4125,2026-08-30 00:00:00,28.2,84,0.0,98,8.6,112,0.0,0,30,8,6,0,0.0
Dhaka,23.8103,90.4125,2026-08-30 01:00:00,28.0,85,0.0,100,8.9,104,0.0,1,30,8,6,0,0.0
Dhaka,23.8103,90.4125,2026-08-30 02:00:00,27.8,86,0.0,98,9.2,101,0.0,2,30,8,6,0,0.0
Dhaka,23.8103,90.4125,2026-08-30 03:00:00,27.6,86,0.0,95,9.7,86,0.0,3,30,8,6,0,0.0
Dhaka,23.8103,90.4125,2026-08-30 04:00:00,27.4,87,0.0,88,10.0,77,0.0,4,30,8,6,0,0.0
Dhaka,23.8103,90.4125,2026-08-30 05:00:00,27.3,87,0.0,81,11.0,79,0.0,5,30,8,6,0,0.0
Dhaka,23.8103,90.4125,2026-08-30 06:00:00,27.5,86,0.0,100,12.0,77,2.0,6,30,8,6,1,0.068554215
Dhaka,23.8103,90.4125,2026-08-30 07:00:00,28.2,81,0.0,91,13.3,87,74.0,7,30,8,6,1,0.19591217
Dhaka,23.8103,90.4125,2026-08-30 08:00:00,29.3,74,0.0,98,16.9,104,267.0,8,30,8,6,1,0.3294213
Dhaka,23.8103,90.4125,2026-08-30 09:00:00,30.2,70,0.1,98,19.5,116,413.0,9,30,8,6,1,0.42197537
Dhaka,23.8103,90.4125,2026-08-30 10:00:00,31.5,65,0.1,92,20.7,110,617.0,10,30,8,6,1,0.56754357
Dhaka,23.8103,90.4125,2026-08-30 11:00:00,31.9,65,0.6,98,19.5,112,715.0,11,30,8,6,1,0.5696897
Dhaka,23.8103,90.4125,2026-08-30 12:00:00,32.6,65,0.2,97,20.1,120,786.0,12,30,8,6,1,0.5755331
Dhaka,23.8103,90.4125,2026-08-30 13:00:00,32.3,67,0.5,98,19.3,114,807.0,13,30,8,6,1,0.51607555
Dhaka,23.8103,90.4125,2026-08-30 14:00:00,30.0,76,1.4,91,21.7,130,614.0,14,30,8,6,1,0.40042487
Dhaka,23.8103,90.4125,2026-08-30 15:00:00,30.6,75,0.6,88,16.6,131,503.0,15,30,8,6,1,0.32064918
Dhaka,23.8103,90.4125,2026-08-30 16:00:00,30.1,76,0.9,93,19.4,132,442.0,16,30,8,6,1,0.19203936
Dhaka,23.8103,90.4125,2026-08-30 17:00:00,29.4,80,0.4,99,17.0,127,185.0,17,30,8,6,1,0.06021504
Dhaka,23.8103,90.4125,2026-08-30 18:00:00,29.0,82,0.1,99,15.7,128,77.0,18,30,8,6,1,0.0
Dhaka,23.8103,90.4125,2026-08-30 19:00:00,28.3,86,0.2,98,15.2,121,2.0,19,30,8,6,0,0.0
Dhaka,23.8103,90.4125,2026-08-30 20:00:00,28.1,86,0.0,99,14.5,122,0.0,20,30,8,6,0,0.0
Dhaka,23.8103,90.4125,2026-08-30 21:00:00,28.1,86,0.0,100,15.3,122,0.0,21,30,8,6,0,0.0
Chittagong,22.3569,91.7832,2026-08-29 22:00:00,27.2,85,0.0,27,15.5,116,0.0,22,29,8,5,0,0.0
Chittagong,22.3569,91.7832,2026-08-29 23:00:00,27.2,84,0.0,21,14.3,115,0.0,23,29,8,5,0,0.0
Chittagong,22.3569,91.7832,2026-08-30 00:00:00,27.1,84,0.0,11,15.0,123,0.0,0,30,8,6,0,0.0
Chittagong,22.3569,91.7832,2026-08-30 01:00:00,27.1,83,0.0,13,15.6,124,0.0,1,30,8,6,0,0.0
Chittagong,22.3569,91.7832,2026-08-30 02:00:00,27.1,82,0.0,73,17.7,129,0.0,2,30,8,6,0,0.0
Chittagong,22.3569,91.7832,2026-08-30 03:00:00,27.1,83,0.0,42,17.8,130,0.0,3,30,8,6,0,0.0
Chittagong,22.3569,91.7832,2026-08-30 04:00:00,27.0,83,0.0,100,17.1,129,0.0,4,30,8,6,0,0.0
Chittagong,22.3569,91.7832,2026-08-30 05:00:00,27.0,82,0.0,100,17.1,123,0.0,5,30,8,6,0,0.0
Chittagong,22.3569,91.7832,2026-08-30 06:00:00,26.9,83,0.0,100,17.1,122,3.0,6,30,8,6,1,0.08251429
Chittagong,22.3569,91.7832,2026-08-30 07:00:00,27.3,82,0.0,100,18.3,130,50.0,7,30,8,6,1,0.20054288
Chittagong,22.3569,91.7832,2026-08-30 08:00:00,26.9,85,0.3,95,19.8,128,151.0,8,30,8,6,1,0.2783822
Chittagong,22.3569,91.7832,2026-08-30 09:00:00,27.8,85,0.3,77,18.8,135,293.0,9,30,8,6,1,0.3966705
Chittagong,22.3569,91.7832,2026-08-30 10:00:00,29.1,78,0.1,70,24.9,152,529.0,10,30,8,6,1,0.5235674
Chittagong,22.3569,91.7832,2026-08-30 11:00:00,29.7,75,0.4,75,25.0,154,679.0,11,30,8,6,1,0.6091945
Chittagong,22.3569,91.7832,2026-08-30 12:00:00,30.4,73,0.3,77,24.5,161,844.0,12,30,8,6,1,0.6406948
Chittagong,22.3569,91.7832,2026-08-30 13:00:00,30.5,73,0.4,88,25.0,167,761.0,13,30,8,6,1,0.57217646
Chittagong,22.3569,91.7832,2026-08-30 14:00:00,29.7,78,0.7,94,24.0,169,678.0,14,30,8,6,1,0.46952018
Chittagong,22.3569,91.7832,2026-08-30 15:00:00,28.7,83,0.7,98,21.7,163,521.0,15,30,8,6,1,0.2946182
Chittagong,22.3569,91.7832,2026-08-30 16:00:00,28.5,81,0.2,100,22.0,163,336.0,16,30,8,6,1,0.16100661
Chittagong,22.3569,91.7832,2026-08-30 17:00:00,27.5,88,0.5,99,21.0,158,147.0,17,30,8,6,1,0.04224247
Chittagong,22.3569,91.7832,2026-08-30 18:00:00,26.6,95,1.5,99,20.4,153,48.0,18,30,8,6,1,0.0
Chittagong,22.3569,91.7832,2026-08-30 19:00:00,26.3,95,0.4,99,20.4,144,1.0,19,30,8,6,0,0.0
Chittagong,22.3569,91.7832,2026-08-30 20:00:00,26.3,95,0.1,100,20.0,144,0.0,20,30,8,6,0,0.0
Chittagong,22.3569,91.7832,2026-08-30 21:00:00,26.4,94,0.0,100,19.8,148,0.0,21,30,8,6,0,0.0
Khulna,22.8456,89.5403,2026-08-29 22:00:00,28.2,86,0.0,57,8.1,90,0.0,22,29,8,5,0,0.0
Khulna,22.8456,89.5403,2026-08-29 23:00:00,27.8,87,0.0,56,9.0,74,0.0,23,29,8,5,0,0.0
Khulna,22.8456,89.5403,2026-08-30 00:00:00,27.5,88,0.0,84,10.2,77,0.0,0,30,8,6,0,0.0
Khulna,22.8456,89.5403,2026-08-30 01:00:00,27.3,88,0.0,99,10.9,78,0.0,1,30,8,6,0,0.0
Khulna,22.8456,89.5403,2026-08-30 02:00:00,27.1,90,0.0,99,11.4,75,0.0,2,30,8,6,0,0.0
Khulna,22.8456,89.5403,2026-08-30 03:00:00,27.1,90,0.0,86,12.4,68,0.0,3,30,8,6,0,0.0
Khulna,22.8456,89.5403,2026-08-30 04:00:00,27.0,90,0.0,100,13.9,61,0.0,4,30,8,6,0,0.0
Khulna,22.8456,89.5403,2026-08-30 05:00:00,27.2,89,0.0,100,15.4,52,0.0,5,30,8,6,0,0.0
Khulna,22.8456,89.5403,2026-08-30 06:00:00,27.3,88,0.0,100,17.2,59,1.0,6,30,8,6,1,0.044707227
Khulna,22.8456,89.5403,2026-08-30 07:00:00,27.6,88,0.0,100,16.4,64,37.0,7,30,8,6,1,0.13395971
Khulna,22.8456,89.5403,2026-08-30 08:00:00,28.2,87,0.2,100,16.6,63,129.0,8,30,8,6,1,0.23891132
Khulna,22.8456,89.5403,2026-08-30 09:00:00,28.5,87,0.6,88,20.5,79,380.0,9,30,8,6,1,0.31516686
Khulna,22.8456,89.5403,2026-08-30 10:00:00,29.9,82,0.3,82,17.8,79,558.0,10,30,8,6,1,0.4747604
Khulna,22.8456,89.5403,2026-08-30 11:00:00,31.6,74,0.1,100,17.5,89,711.0,11,30,8,6,1,0.54034305
Khulna,22.8456,89.5403,2026-08-30 12:00:00,28.4,85,3.8,100,19.0,97,465.0,12,30,8,6,1,0.3071226
Khulna,22.8456,89.5403,2026-08-30 13:00:00,28.4,90,1.5,97,10.8,116,371.0,13,30,8,6,1,0.34848216
Khulna,22.8456,89.5403,2026-08-30 14:00:00,30.1,85,0.5,96,11.2,118,558.0,14,30,8,6,1,0.3154592
